A00	Vəba
C16.2	Mədə cisminin bədxassəli yenitörəməsi
C16.3	Mədə çıxacağı dəhlizinin bədxassəli yenitörəməsi
C16.4	Mədə çıxacağının Mədə çıxacağı önünün Mədə çıxacağı kanalının
C16.5	Mədənin kiçik əyriliyinin dəqiqləşdirilməmiş hissəsinin
C16.6	Mədənin böyük əyriliyinin dəqiqləşdirilməmiş hissəsinin
C16.8	Mədənin yuxarıda göstərilən bir və ya bir neçə lokaliza- siyasından kənara çıxmaqla zədələnməsi
C16.9	Mədənin dəqiqləşdirilməmiş lokalizasiyalı bədxassəli yenitörəməsi
C17	Nazik bağırsağın bədxassəli yenitörəməsi
C17.0	Onikibarmaq bağırsağın bədxassəli yenitörəməsi
C17.1	Acı bağırsağın bədxassəli yenitörəməsi
C17.2	Qalça bağırsağın bədxassəli yenitörəməsi
C17.3	Mekkel divertikulunun bədxassəli yenitörəməsi
C17.8	Nazik bağırsağın yuxarıda göstərilən bir və ya bir neçə lokalizasiyasından kənara çıxmaqla zədələnməsi
C17.9	Nazik bağırsağın dəqiqıəşdirilməmiş lokaıizasiyalı bədxassəli yenitörəməsi
C18	Köndələn-çənbər bağırsağın bədxassəli yenitörəməsi
C18.0	Kor bağırsağın bədxassəli yenitörəməsi
C18.1	Soxulcanabənzər çıxıntının
C18.2	Qalxan çənbər bağırsağın
C18.3	Qaraciyər əyriliyinin bədxassəli yenitörəməsi
C18.4	Köndələn çənbər bağırsağın bədxassəli yenitörəməsi
C18.5	Dalaq əyriliyinin bədxassəli yenitörəməsi
C18.6	Enən çənbər bağırsağın bədxassəli yenitörəməsi
C18.7	Siqmavarı bağırsağın bədxassəli yenitörəməsi
C18.8	Çənbər bağırsağın yuxarıda göstərilən bir və ya neçə
C18.9	Çənbər bağırsağın dəqiqləşdirilməmiş lokalizasiyalı bədxassəli
C19	Düz bağırsaqla siqmavarı bağırsaq birləşməsinin bədxassəli yenitörəməsi
C20	Düz bağırsağın bədxassəli yenitörəməsi
C21	Anusun və anal kanalın bədxassəli yenitörəməsi
C21.0	Anusun dəqiqləşdirilməmiş lokalizasiyalı bədxassəli yenitörəməsi
C21.1	Anal kanalın bədxassəli yenitörəməsi
C21.2	Kloakogen zonanın bədxassəli yenitörəməsi
C21.8	Düz bağırsaq, anus və anal kanalın yuxarıda göstərilən bir və ya bir neçə lokalizasiyasından kənara çıxmaqla zədələnməsi
C22	Qaraciyərin və qaraciyərdaxili öd yollarının bədxassəli yenitörəməsi
C22.0	Qaraciyər hüceyrəli xərçəng
C22.1	Qaraciyərdaxili öd axacağının xərçəngi
C22.2	Hepatoblastoma
C22.3	Qaraciyər angiosarkoması
C22.4	Qaraciyərin digər sarkomaları
C22.7	Qaraciyərin digər dəqiqləşdirilmiş xərçəngləri
C22.9	Qaraciyərin dəqiqləşdirilməmiş bədxassəli yenitörəməsi
C23	Öd kisəsinin bədxassəli yenitörəməsi
C24	Öd yollarının digər və dəqiqləşdirilməmiş hissələrinin bədxassəli yenitörəməsi
C24.0	Qaraciyərxarici öd axacağının bədxassəli yenitörəməsi
C24.1	Fater məməciyi ampulunun bədxassəli yenitörəməsi
C24.8	Öd yollarının yuxarıda göstərilən bir və ya bir neçə
C24.9	Öd yollarının dəqiqləşdirilməmiş bədxassəli yenitörəməsi
C25	Mədəaltı vəzinin bədxassəli yenitörəməsi
C25.0	Mədəaltı vəzi başının bədxassəli yenitörəməsi
C25.1	Mədəaltı vəzi cisminin
C25.2	Mədəaltı vəzi quyruğunun
C25.3	Mədəaltı vəzi axacağının bədxassəli yenitörəməsi
C25.4	Mədəaltı vəzinin adacıq hüceyrələrinin
C25.7	Mədəaltı vəzinin digər hissələrinin
C25.8	Mədəaltı vəzinin yuxarıda göstərilən bir və ya bir neçə
C25.9	Mədəaltı vəzinin dəqiqləşdirilməmiş bədxassəli yenitörəməsi
C26	Həzm sisteminin digər və dəqiq müəyyən edilməmiş üzvlərinin bədxassəli yenitörəməsi
C26.0	Bağırsaq yolunun dəqiqləşdiriıməmiş hissəsinin bədxassəli yenitörəməsi
C26.1	Daıağın bədxassəli yenitörəməsi
C26.8	Həzm orqanlarının yuxarıda göstərilən bir və ya bir neçə lokaıizasiyasından kənara çıxmaqla zədələnməsi
C26.9	Həzm sistemi hüdudunda, lokalizasiyası dəqiq göstərilməyən bədxassəli yenitörəmə
C30	Burun boşluğunun və orta qulağın bədxassəli yenitörəməsi
C30.0	Burun boşluğunun bədxassəli yenitörəməsi
C30.1	Orta qulağın bədxassəli yenitörəməsi
C31	Əlavə ciblərin bədxassəli yenitörəməsi
C31.0	Əng cibinin bədxassəli yenitörəməsi
C31.1	Xəlbirəbənzər cibin bədxassəli yenitörəməsi
C31.2	Alın cibinin bədxassəli yenitörəməsi
C31.3	Pazabənzər (əsas sümüyə məxsus) cibin bədxassəli
C31.8	Əlavə ciblərin yuxarıda göstərilən bir və ya bir neçə lokaıizasiyasından kənara çıxmaqla zədələnməsi
C31.9	Əlavə cibin dəqiqləşdirilməmiş bədxassəli yenitörəməsi
C32	Qırtlağın bədxassəli yenitörəməsi
C32.0	Səs aparatının məxsusi bədxassəli yenitörəməsi
C32.1	Səs aparatından yuxarı hissənin bədxassəli yenitörəməsi
C32.2	Səs aparatından aşağı hissənin bədxassəli yenitörəməsi
C32.3	Qırtlaq qığırdaqlarının
C32.8	Qırtlağın yuxarıda göstərilən bir və ya bir neçə lokaıizasiyasından kənara çıxmaqla zədələnməsi
C32.9	Qırtlağın dəqiqləşdirilməmiş bədxassəli yenitörəməsi
C33	Traxeyanın (nəfəs borusunun) bədxassəli yenitörəməsi
C34	Bronxların və ağciyərlərin bədxassəli yenitörəməsi
C34.0	Baş bronxların bədxassəli yenitörəməsi
C34.1	Bronxların və ya ağciyərin yuxarı payının
C34.2	Bronxların və ya ağciyərin orta payının
C34.3	Bronxların və ya ağciyərin aşağı payının
C34.8	Bronxların və ya ağciyərin yuxarıda göstərilən bir və ya bir neçə
C34.9	Bronxların və ya ağciyərin dəqiqləşdirilməmiş lokalizasiyalı
C37	Çəngələbənzər (timus) vəzinin bədxassəli yenitörəməsi
C38	Ürəyin, divararalığının və plevranın bədxassəli yenitörəməsi
C38.0	Ürəyin bədxassəli yenitörəməsi
C38.1	Ön divarlığın bədxassəli yenitörəməsi
C38.2	Arxa divararalığının bədxassəli yenitörəməsi
C38.3	Divararalığının dəqiqləşdirilməmiş hissəsinin bədxassəli yenitörəməsi
C38.4	Plevranın bədxassəli yenitörəməsi
C38.8	Ürək, divararalığı və plevranın yuxarıda göstərilən bir və ya bir neçə lokalizasiyasından kənara çıxmaqla zədələnməsi
C39	Tənəffüs orqanlarının və döş qəfəsinin digər və qeyri-dəqiq müəyyənləşdirilmiş lokalizasiyalı bədxassəli yenitörəməsi
C39.0	Yuxarı tənəffüs yollarının dəqiqləşdirilməmiş hissəsinin bədxassəli yenitörəməsi
C39.8	Tənəffüs və döş qəfəsi orqanlarının yuxarıda göstərilən bir və ya bir neçə lokalizasiyasından kənara çıxmaqla zədələnməsi
C39.9	Tənəffüs orqanları hüdudunda lokalizasiyası dəqiq göstərilməyən bədxassəli yenitörəmə
C40	Ətraf sümüklərinin və oynaq qığırdaqlarının bədxassəli yenitörəmələri
C40.0	Kürəyin və yuxarı ətrafın uzun sümüklərinin bədxassəli
C40.1	Yuxarı ətrafın qısa sümüklərinin bədxassəli yenitörəməsi
C40.2	Aşağı ətrafın uzun sümüklərinin bədxassəli yenitörəməsi
C40.3	Aşağı ətrafın qısa sümüklərinin bədxassəli yenitörəməsi
C40.8	Ətraf sümüklərinin və oynaq qığırdaqlarının yuxarıda göstərilən bir və ya bir neçə lokalizasiyasından kənara çıxmaqla zədələnməsi
C40.9	Ətraf sümüklərinin və oynaq qığırdaqların dəqiqləşdirilməmiş lokalizasiyalı bədxassəli yenitörəməsi
C41	Digər və dəqiqləşdirilməmiş lokalizasiyalı sümüklərin və oynaq qığırdaqlarının bədxassəli yenitörəmələri
C41.0	Kəllə və üz sümüklərinin bədxassəli yenitörəməsi
C41.1	Alt çənənin bədxassəli yenitörəməsi
C41.2	Onurğanın bədxassəli yenitörəməsi
C41.3	Qabırğa, döş sümüyü və körpücüyün bədxassəli yenitörəməsi
C41.4	Çanaq, oma və büzdüm sümüklərinin bədxassəli yenitörəməsi
C41.8	Sümüklərin və oynaq qığırdaqlarının yuxarıda göstərilən bir və
C41.9	Sümüklərin və oynaq qığırdaqlarının dəqiqləşdirilməmiş
C43	Dərinin bədxassəli melanoması
C43.0	Dodağın bədxassəli melanoması
C43.1	Göz qapağının bədxassəli melanoması, göz qapaqları bitişməsi də daxil olmaqla bədxassəli melanoması, göz qapaqları bitişməsi də daxil olmaqla
C43.2	Qulaq və xarici qulaq keçəcəyinin bədxassəli melanoması
C43.3	Üzün digər və dəqiqləşdirilməmiş hissələrinin bədxassəli melanoması
C43.4	Başın tüklü hissəsi və boynun bədxassəli melanoması
C43.5	Gövdənin bədxassəli melanoması
C43.6	Yuxarı ətrafın bədxassəli melanoması, bazu oynağı nahiyəsi də daxil olmaqla
C43.7	Aşağı ətrafın bədxassəli melanoması, bud-çanaq oynağı nahiyəsi də daxil olmaqla
C43.8	Dərinin yuxarıda göstərilən bir və ya bir neçə lokalizasiyasından kənara çıxan bədxassəli melanoması
C43.9	Dərinin dəqiqləşdirilməmiş bədxassəli melanoması
C44	Dərinin digər bədxassəli yenitörəmələri
C44.0	Dodaq dərisinin bədxassəli yenitörəməsi
C44.1	Göz qapağı dərisinin, göz qapaqları bitişməsi də daxil olmaqla
C44.2	Qulaq dərisi və xarici qulaq keçəcəyinin bədxassəli yenitörəməsi
C44.3	Üz dərisinin digər və dəqiqləşdirilməmiş hissələrinin
C44.4	Başın tüklü hissəsi və boyun dərisinin bədxassəli yenitörəməsi
C44.5	Gövdə dərisinin bədxassəli yenitörəməsi
C44.6	Yuxarı ətraf dərisinin, çiyin qurşağı nahiyəsi də daxil olmaqla
C44.7	Aşağı ətraf dərisinin, bud-çanaq nahiyəsi də daxil olmaqla
C44.8	Dərinin yuxarıda göstərilən bir və ya bir neçə lokalizasiyasından kənara çıxan zədələnmələri
C44.9	Dərinin dəqiqləşdirilməmiş nahiyəsinin bədxassəli yenitörəmələri
C45	Mezotelioma
C45.0	Plevranın mezotelioması
C45.1	Peritonun mezotelioması
C45.2	Perikardın mezotelioması
C45.7	Digər lokalizasiyalı mezotelioma
C45.9	Dəqiqləşdirilməmiş mezotelioma
C46	Kapoşi sarkoması
C46.0	Dərinin Kapoşi sarkoması
C46.1	Yumşaq toxumaların Kapoşi sarkomas
C46.2	Damağın Kapoşi sarkoması
C46.3	Limfa düyünlərinin Kapoşi sarkoması
C46.7	Digər lokalizasiyalı Kapoşi sarkoması
C46.8	Bir çox orqanların Kapoşi sarkoması
C46.9	Dəqiqləşdirilməmiş lokalizasiyalı Kapoşi sarkoması
C47	Periferik sinirlərin və vegetativ sinir sisteminin bədxassəli yenitörəmələri
C47.0	Baş, üz və boynun periferik sinirlərinin bədxassəli yenitörəməsi
C47.1	Yuxarı ətrafın periferik sinirlərinin, çiyin qurşağı nahiyəsi də
C47.2	Aşağı ətrafın periferik sinirlərinin, bud-çanaq nahiyəsi də daxil olmaqla bədxassəli yenitörəməsi
C47.3	Döş qəfəsinin periferik sinirlərinin bədxassəli yenitörəməsi
C47.4	Qarnın periferik sinirlərinin bədxassəli yenitörəməsi
C47.5	Çanağın periferik sinirlərinin bədxassəli yenitörəməsi
C47.6	Gövdənin dəqiqləşdirilməmiş periferik sinirlərinin bədxassəli
C47.8	Periferik sinirlərin və vegetativ sinir sisteminin yuxarıda göstərilən bir və ya bir neçə lokalizasiyasından kənara çıxan zədələnməsi
C47.9	Periferik sinirlərin və vegetativ sinir sisteminin
C48	Peritonarxası sahənin və peritonun bədxassəli yenitörəmələri
C48.0	Peritonarxası sahənin bədxassəli yenitörəməsi
C48.1	Peritonun dəqiqləşdirilmiş hissələrinin bədxassəli yenitörəməsi
C48.2	Peritonun dəqiqləşdirilməmiş hissəsinin bədxassəli yenitörəməsi
C48.8	Periton və peritonarxası sahənin yuxarıda göstərilən bir və ya bir neçə lokalizasiyasından kənara çıxan zədələnməsi
C49	Birləşdirici toxumanın və yumşaq toxumaların digər tiplərinin bədxassəli yenitörəmələri
C49.0	Baş, üz və boynun birləşdirici və yumşaq toxumalarının
C49.1	Yuxarı ətrafın çiyin qurşsağı nahiyəsi də daxil olmaqla birləşdirici və yumşaq toxumalarının bədxassəli yenitörəməsi
C49.2	Aşağı ətrafın bud-çanaq nahiyəsi də daxil olmaqla birləşdirici və yumşaq toxumalarının bədxassəli yenitörəməsi
C49.3	Döş qəfəsinin birləşdirici və yumşaq toxumalarının bədxassəli yenitörəməsi
C49.4	Qarnın birləşdirici və yumşaq toxumalarının bədxassəli yenitörəməsi
C49.5	Çanağın birləşdirici və yumşaq toxumalarının bədxassəli yenitörəməsi
C49.6	Gövdənin birləşdirici və yumşaq toxumalarının
C49.8	Birləşdirici və yumşaq toxumalarının yuxarıda göstərilən bir və
C49.9	Birləşdirici və yumşaq toxumalarının dəqiqləşdirilməmiş
C50	Süd vəzisinin bədxassəli yenitörəməsi
C50.0	Döş giləsi və məməcik dairəsinin bədxassəli yenitörəməsi
C50.1	Süd vəzisinin mərkəzi hissəsinin bədxassəli yenitörəməsi
C50.2	Süd vəzisinin yuxarı-içəri kvadrantının bədxassəli yenitörəməsi
C50.3	Süd vəzisinin aşağı-içəri kvadrantının bədxassəli yenitörəməsi
C50.4	Süd vəzisinin yuxarı-bayır kvadrantının
C50.5	Süd vəzisinin aşağı-bayır kvadrantının
C50.6	Süd vəzisinin arxa qoltuqaltı hissəsinin bədxassəli yenitörəməsi
C50.8	Süd vəzisinin yuxarıda göstərilən bir və ya bir neçə lokalizasiyasından kənara çıxan zədələnməsi
C50.9	Süd vəzisinin dəqiqləşdirilməmiş hissəsinin bədxassəli yenitörəməsi
C51	Vulvanın bədxassəli yenitörəməsi
C51.0	Böyük cinsiyyət dodağının bədxassəli yenitörəməsi
C51.1	Kiçik cinsiyyət dodağının bədxassəli yenitörəməsi
C51.2	Klitorun bədxassəli yenitörəməsi
C51.8	Vulvanın (xarici qadın cinsiyyət orqanlarının) yuxarıda göstərilən bir və ya bir neçə lokalizasiyasından kənara çıxan zədələnməsi
C51.9	Vulvanın (xarici qadın cinsiyyət orqanlarının) dəqiqləşdirilməmiş hissəsinin bədxassəli yenitörəməsi
C52	Uşaqlıq yolunun bədxassəli yenitörəməsi
C53	Uşaqlıq boynunun bədxassəli yenitörəməsi
C53.0	Daxili hissəsinin bədxassəli yenitörəməsi
C53.1	Xarici hissəsinin bədxassəli yenitörəməsi
C53.8	Uşaqlıq boynunun yuxarıda göstərilən bir və ya bir neçə lokalizasiyasından kənara çıxan zədələnməsi
C53.9	Uşaqlıq boynunun dəqiqləşdirilməmiş hissəsinin bədxassəli yenitörəməs
C54	Uşaqlıq cisminin bədxassəli yenitörəməsi
C54.0	Uşaqlıq boğazının bədxassəli yenitörəməsi
C54.1	Endometrin ( uşaqlığın selikli qişasının) bədxassəli yenitörəməsi
C54.2	Miometrin (uşaqlığın əzələ qişasının) bədxassəli yenitörəməsi
C54.3	Uşaqlıq dibinin bədxassəli yenitörəməsi
C54.8	Uşaqlıq cisminin yuxarıda göstərilən bir və ya bir neçə lokalizasiyasından kənara çıxan zədələnməsi
C54.9	Uşaqlıq cisminin dəqiqləşdirilməmiş lokalizasiyalı bədxassəli yenitörəməsi
C55	Uşaqlığın dəqiqləşdirilməmiş lokalizasiyalı bədxassəli yenitörəməsi
C56	Yumurtalığın bədxassəli yenitörəməsi
C57	Digər və dəqiqləşdirilməmiş qadın cinsiyyət orqanlarının bədxassəli yenitörəməsi
C57.0	Fallop borusunun bədxassəli yenitörəməsi
C57.1	Enli bağının bədxassəli yenitörəməsi
C57.2	Girdə bağınbədxassəli yenitörəməsi
C57.3	Parametrin bədxassəli yenitörəməsi
C57.4	Uşaqlıq artımlarının dəqiqləşdirilməmiş bədxassəli yenitörəməsi
C57.7	Qadın cinsiyyət orqanlarının digər dəqiqləşdirilməmiş bədxassəli yenitörəməsi
C57.8	Qadın cinsiyyət orqanlarının yuxarıda göstərilən bir və ya bir neçə lokalizasiyasından kənara çıxan zədələnməsi
C57.9	Qadın cinsiyyət orqanlarının dəqiqləşdirilməmiş bədxassəli yenitörəməsi
C58	Ciftin (plasentanın) bədxassəli yenitörəməsi
C60	Cinsiyyət üzvünün bədxassəli yenitörəməsi
C60.0	Pülüyün bədxassəli yenitörəməsi
C60.1	Kişi cinsiyyət üzvü başının bədxassəli yenitörəməsi
C60.2	Kişi cinsiyyət üzvü cisminin bədxassəli yenitörəməsi
C60.8	Kişi cinsiyyət üzvünün yuxarıda göstərilən bir və ya bir neçə
C60.9	Kişi cinsiyyət üzvünün dəqiqləşdirilməmiş lokalizasiyalı bədxassəli yenitörəməsi
C61	Prostat vəzinin bədxassəli yenitörəməsi
C62	Xayanın bədxassəli yenitörəməsi
C62.0	Xayalığa enməmiş xayanın bədxassəli yenitörəməsi
C62.1	Enmiş xayanın bədxassəli yenitörəməsi
C62.9	Xayanın dəqiqləşdirilməmiş bədxassəli yenitörəməsi
C63	Digər və dəqiqləşdirilməmiş kişi cinsiyyət orqanlarının bədxassəli yenitörəməsi
C63.0	Xaya artımının
C63.1	Toxum ciyəsinin
C63.2	Xayalığın
C63.7	Kişi cinsiyyət
C63.8	Kişi cinsiyyət orqanlarının yuxarıda göstərilən bir və ya bir neçə
C63.9	Kişi cinsiyyət orqanlarının dəqiqləşdirilməmiş lokalizasiyalı
C64	Böyrəyin, böyrək ləyənindən başqa bədxassəli yenitörəməsi
C65	Böyrək ləyənlərinin bədxassəli yenitörəməsi
C66	Sidik axarının bədxassəli yenitörəməsi
C67	Sidik kisəsinin bədxassəli yenitörəməsi
C67.0	Sidik kisəsi üçbucağının bədxassəli yenitörəməsi
C67.1	Sidik kisəsi gümbəzinin bədxassəli yenitörəməsi
C67.2	Sidik kisəsinin yan divarının bədxassəli yenitörəməsi
C67.3	Sidik kisəsinin ön divarının bədxassəli yenitörəməsi
C67.4	Sidik kisəsinin arxa divarının bədxassəli yenitörəməsi
C67.5	Sidik kisəsi boynunun bədxassəli yenitörəməsi
C67.6	Sidik axarı dəliyinin bədxassəli yenitörəməsi
C67.7	Birincili sidik axarının (uraxusun) bədxassəli yenitörəməsi
C67.8	Sidik kisəsinin yuxarıda göstərilən bir və ya bir neçə lokalizasiyasından kənara çıxmaqla zədələnməsi
C67.9	Sidik kisəsinin dəqiqləşdirilməmiş hissəsinin bədxassəli yenitörəməsi
C68	Digər və dəqiqləşdirilməmiş sidik orqanlarının bədxassəli yenitörəməsi
C68.0	Sidik kanalının bədxassəli yenitörəməsi
C68.1	Parauretral vəzilərin bədxassəli yenitörəməsi
C68.8	Sidik orqanlarının yuxarıda göstərilən bir və ya bir neçə lokalizasiyasından kənara çıxmaqla zədələnməsi
C68.9	Sidik orqanlarının dəqiqləşdirilməmiş bədxassəli yenitörəməsi
C69	Gözün və əlavə aparatının bədxassəli yenitörəməsi
C69.0	Konyuktivanın bədxassəli yenitörəməsi
C69.1	Buynuz qişanın bədxassəli yenitörəməsi
C69.2	Tor qişanın bədxassəli yenitörəməsi
C69.3	Damarlı qişanın bədxassəli yenitörəməsi
C69.4	Kirpikli cismin bədxassəli yenitörəməsi
C69.5	Gözyaşı vəzisi və axacağının bədxassəli yenitörəməsi
C69.6	Göz yuvasının bədxassəli yenitörəməsi
C69.8	Göz və onun əlavə aparatının yuxarıda göstərilən bir və ya bir neçə lokalizasiyasından kənara çıxan zədələnməsi
C69.9	Gözün dəqiqləşdirilməmiş hissəsinin bədxassəli yenitörəməsi
C70	Beyin qişalarının bədxassəli yenitörəməsi
C70.0	Baş beyin qişalarının bədxassəli yenitörəməsi
C70.1	Onurğa beyni qişalarının bədxassəli yenitörəməsi
C70.9	Beyin qişalarının dəqiqləşdirilməmiş bədxassəli yenitörəməsi
C71	Baş beynin bədxassəli yenitörəməsi
C71.0	Böyük beynin, paylarından və mədəciklərindən başqa
C71.1	Alın payının bədxassəli yenitörəməsi
C71.2	Gicgah payının bədxassəli yenitörəməsi C71.3
C71.3	Təpə payının bədxassəli yenitörəməsi
C71.4	Ənsə payının bədxassəli yenitörəməsi
C71.5	Beyin mədəciyinin bədxassəli yenitörəməsi
C71.6	Beyinciyin bədxassəli yenitörəməsi
C71.7	Beyin kötüyünün bədxassəli yenitörəməsi
C71.8	Baş beynin yuxarıda göstərilən bir və ya bir neçə lokalizasiyasından kənara çıxan zədələnməsi
C71.9	Baş beyinin dəqiqləşdirilməmiş lokalizasiyalı bədxassəli yenitörəməsi
C72	Onurğa beyninin, kəllə sinirlərinin və mərkəzi sinir sisteminin digər şöbələrinin bədxassəli yenitörəməsi
C72.0	Onurğa beyninin bədxassəli yenitörəməsi
C72.1	At quyruğunun bədxassəli yenitörəməsi
C72.2	Qoxu sinirinin bədxassəli yenitörəməsi
C72.3	Görmə sinirinin bədxassəli yenitörəməsi
C72.4	Eşitmə sinirinin bədxassəli yenitörəməsi
C72.5	Kəllə sinirlərinin digər və dəqiqləşdirilməmiş bədxassəli
C72.8	Baş beynin və mərkəzi sinir sisteminin digər şöbələrinin
C72.9	Mərkəzi sinir sisteminin dəqiqləşdirilməmiş şöbəsinin bədxassəli
C73	Qalxanabənzər vəzinin bədxassəli yenitörəməsi
C74	Böyrəküstü vəzinin bədxassəli yenitörəməsi
C74.0	Böyrəküstü vəzinin qabıq maddəsinin bədxassəli yenitörəməsi
C74.1	Böyrəküstü vəzinin beyin maddəsinin bədxassəli yenitörəməsi
C74.9	Böyrəküstü vəzinin dəqiqləşdirilməmiş hissəsinin bədxassəli yenitörəməsi
C75	Digər endokrin vəzilərinin və oxşar strukturların bədxassəli yenitörəməsi
C75.0	Qalxanabənzər ətraf vəzinin bədxassəli yenitörəməsi
C75.1	Hipofizin bədxassəli yenitörəməsi
C75.2	Kəllə-udlaq axacağının bədxassəli yenitörəməsi
C75.3	Əzgiləbənzər vəzinin (epifizin) bədxassəli yenitörəməsi
C75.4	Yuxu yumağının (paraqanqlionun) bədxassəli yenitörəməsi
C75.5	Aorta yumağınım və dıgər paraqanqlionların bədxassəli yenitörəməsi
C75.8	Bir neçə endokrin vəzinin dəqiqləşdirilməmiş zədələnməsi
C75.9	Dəqiqləşdirilməmiş endokrin vəzinin bədxassəli
C76	Digər və qeyri-dəqiq lokalizasiyaların bədxassəli yenitörəməsi
C76.0	Başın, üzün və boynun bədxassəli yenitörəməsi
C76.1	Döş qəfəsinin bədxassəli yenitörəməsi
C76.2	Qarnın bədxassəli yenitörəməsi
C76.3	Çanağın bədxassəli yenitörəməsi
C76.4	Yuxarı ətrafın bədxassəli yenitörəməsi
C76.5	Aşağı ətrafın bədxassəli yenitörəməsi
C76.7	Digər dəqiqləşdirilməmiş lokalizasiyalı bədxassəli
C76.8	Digər və dəqiqləşdirilməmiş lokalizasiyaların yuxarıda göstərilən bir və ya bir neçə lokalizasiyasından kənara çıxan zədələnməsi
C77	Limfatik düyünlərin ikincili və qeyri-dəqiq bədxassəli yenitörəməsi
C77.0	Baş, üz və boyun limfa düyünlərinin bədxassəli yenitörəməsi
C77.1	Döşdaxili limfa düyünlərinin bədxassəli yenitörəməsi
C77.2	Qarındaxili limfa düyünlərinin bədxassəli yenitörəməsi
C77.3	Qoltuqaltı çuxurun və yuxarı ətraf limfa düyünlərinin bədxassəli
C77.4	Qasıq nahiyəsi və aşağı ətraf limfa düyünlərinin bədxassəli
C77.5	Çanaqdaxili limfa düyünlərinin bədxassəli yenitörəməsi
C77.8	Limfa düyünlərinin çox lokalizasiyalı bədxassəli
C77.9	Limfa düyünlərinin dəqiqləşdirilməmiş lokalizasiyalı
C78	Tənəffüs və həzm orqanlarının ikincili bədxassəli yenitörəməsi
C78.0	Ağciyərin ikincili bədxassəli yenitörəməsi
C78.1	Divararalığının ikincili bədxassəli yenitörəməsi
C78.2	Plevranın ikincili bədxassəli yenitörəməsi
C78.3	Digər və dəqiqləşdirilməmiş tənəffüs orqanlarının ikincili bədxassəli yenitörəməsi
C78.4	Nazik bağırsağın ikincili bədxassəli yenitörəməsi
C78.5	Yoğun bağırsaq və düz bağırsağın ikincili bədxassəli yenitörəməsi
C78.6	Periton və peritonarxası sahənin ikincili bədxassəli yenitörəməsi
C78.7	Qaraciyərin ikincili bədxassəli yenitörəməsi
C78.8	Digər və dəqiqləşdirilməmiş həzm orqanlarının ikincili bədxassəli yenitörəməsi
C79	Digər və dəqiqləşdirilməmiş lokalizasiyaların bədxassəli yenitörəməsi
C79.0	Böyrək və böyrək ləyənlərinin ikincili bədxassəli yenitörəməsi
C79.1	Sidik kisəsi, digər və dəqiqləşdirilməmiş sidik orqanlarının ikincili bədxassəli yenitörəməsi
C79.2	Dərinin ikincili bədxassəli yenitörəməsi
C79.3	Baş beyin və beyin qişalarının ikincili bədxassəli yenitörəməsi
C79.4	Sinir sisteminin digər və dəqiqləşdirilməmiş şöbələrinin ikincili bədxassəli yenitörəməsi
C79.5	Sümük və sümük iliyinin ikincili bədxassəli yenitörəməsi
C79.6	Yumurtalığın ikincili bədxassəli yenitörəməsi
C79.7	Böyrəküstü vəzinin ikincili bədxassəli yenitörəməsi
C79.8	Digər dəqiqləşdirilmiş lokalizasiyaların ikincili bədxassəli yenitörəməsi
C79.9	Dəqiqləşdirilmiş lokalizasiyaların ikincili bədxassəli yenitörəməsi
C80	Lokalizasiyası dəqiqləşdirilməmiş bədxassəli yenitörəmə
C80.0	İlkin lokalizasiyası dəqiqləşdirilməyən bədxassəli yenitörəmə
C80.9	İlkin lokalizasiyası naməlum bədxassəli yenitörəmə
C81	Hockin limfoması
C81.0	Nodulyar limfositlərin üstünlüyü ilə müşayiət olunan Hockin limfoması
C81.1	Nodulyar sklerozlu klassik Hockin limfoması
C81.2	Qarışıq hüceyrəli klassik Hockin limfoması
C81.3	Limfoid toxumanın azlığı ilə müşayiət olunan klassik Hockin
C81.4	Limfositlərin coxluğu ilə müşayiət olunan klassik Hockin
C81.7	Klassik Hockin limfomasının digər formaları
C81.9	Dəqiqləşdirilməmiş Hockin limfoması
C82	Follikulyar limfoma
C82.0	Follikulyar limfoma I mərhələ
C82.1	Follikulyar limfoma II mərhələ
C82.2	Follikulyar limfoma III mərhələ, dəqiqləşdirilməmiş
C82.3	Follikulyar limfoma IIIa mərhələsi
C82.4	Follikulyar limfoma IIIb mərhələsi
C82.5	Diffuz follikulyar mərkəzin limfoması
C82.6	Dəri follikulyar mərkəzin limfoması
C82.7	Follikulyar limfomanın digər formaları
C82.9	Dəqiqləşdirilməmiş follikulyar limfoma
C83	Qeyri-follikulyar limfoma
C83.0	Xırda B-hüceyrəli limfoma
C83.1	Hüceyrə qılafının limfoması
C83.3	Diffuz iri B-hüceyrəli limfoma
C83.5	Limfoblast (diffuz) limfoma
C83.7	Berkitt limfoması Atipik Berkitt limfoması “Berkittə oxşar” limfoma
C83.8	Qeyri-follikulyar limfomanın digər formaları
C83.9	Dəqiqləşdirilməmiş qeyri-follikulyar diffuz limfoma
C84	Yetişmiş T/NK-hüceyrəli limfomalar
C84.0	Göbələyəbənzər mikoz
C84.1	Sezari xəstəliyi
C84.4	Periferik başqa rubrikalarda təsnif olunmayan T-hüceyrəli limfoma
C84.5	Digər yetişmiş T/NK-hüceyrəli limfomalar
C84.6	Anaplastik iri hüceyrəli limfoma, ALK-müsbət
C84.7	Anaplastik iri hüceyrəli limfoma, ALK-mənfi
C84.8	Dəqiqləşdirilməmiş T-hüceyrəli dəri limfoması
C84.9	Dəqiqləşdirilməmiş yetişmiş T/NK hüceyrəli limfoma
